I'm not Canadian but would still love to #tryBabyDove	I'm not 🇨🇦 but would still ❤️ to #tryBabyDove
i love cookie monster!!	i ❤️ 🍪 👾
I just saluted a squirrel! My brain momentarily thought it was a magpie!	I just saluted a 🐿!! My brain momentarily thought it was a 🐦!
That moment when u sit in jam for two hours and all of a sudden every passenger becomes a traffic officer	That moment when u sit in jam for two hours and all of a sudden every passenger becomes a 🚦 👮
ooooooh have you now?? interesting	have you now?? 🤔
Summer time coming I ain't letting up ‼️‼️‼️‼️‼️	☀️ 🕛 coming I ain't 😤 ⬆️!!!!!
Some way over the boundry shots My squad tho Krunk hit over…	Some way over the boundry shots My 👨 tho Krunk 👊 over…
beggars can't be choosers Hahahaha. Thanks anyway!!	beggars can't be choosers 😂. 🙏  anyway!!
Hala sorry @ Camella Homes Lessandra, Bacoor Cavite	😂 ☹️ @ Camella Homes Lessandra, Bacoor Cavite
I hope you feel better soon Will always be keeping you in my prayers...	I hope you feel better 🔜 Will always be keeping you in my 🙏...
this is getting out of hand la she be acting like a rebellious 13 year old for what now haha funny af	this is getting out of ✋ la she be acting like a rebellious 13 year old for what now 😂 😂 af
done. on eaten. Time for chores	done. on 🍽️. 🕛 for chores
My friends be ready to kill me for my honesty I gotta shut up	My friends be ready to 🔫 me for my honesty I gotta 🤐 🤐
Nobody was fucking with Dolph before this diss	Nobody was 🍆 with Dolph before this diss
lmfao , that surprised the shit out of me. That was a damn blow torch.	😂, that surprised the 💩 out of me. That was a damn blow 🔥.
I don't understand how me boyfriend could be so thick	I don't 🤔 how me 💏 could be so thick
Thanks for your request. Please keep an eye on the section of the market to see if it's priced. Good luck!	Thanks for your request. Please keep an 👀 on the section of the market to see if it's 💵. Good luck!
Chief said it best	😎 said it best
mom went to final visit Dr take X-ray stolid mom she needs MRI but stay in boot till then week	👩 went to final visit 😷 take X-ray stolid 👩 she needs MRI but stay in 👢 till then week
okay RT: The new wave Be there!	okay RT: The new 🌊 Be there!
Chillin, relaxing, chillout together with zaynouba	Chillin, 🛀, chillout together with zaynouba
interesting ..don't always get the pain but do lose my vision	interesting ..don't always get the pain but do lose my 👀
POP UP SHOP! March 11th 3-6pm x x	POP UP 🏪! March 11th 3-6pm x x
Pls Watch My New AfroGospel Vid To Comment,Subscribe God Bless	Pls 👀 My New AfroGospel Vid To Comment,Subscribe God 🙏
I've learned when I'm mad at somebody, I will say anything at the moment to hurt them. I gotta ❄️.	I've learned when I'm 😡 at somebody, I will say anything at the moment to hurt them. I gotta chill.
in any situation a nigga need food I think if he was getting fed properly they'd still be together	in any situation a nigga need 🍲 I think if he was getting 🍕 properly they'd still be 💑
Gudnyt, God bless	Gudnyt, God 🙏
Hi. Ashley Mustoe (ash_a_leeeXOXO) :D	👋. Ashley Mustoe (ash_a_leeeXOXO) :D
The crowd screaming ChanBaek earlier though lowkey know that we shouldn't have but it was satisfying AF hahahahahahhahaha ok bye	The crowd 🗣️ ChanBaek earlier though lowkey know that we shouldn't have but it was satisfying AF 😂 ok bye
Thank you po Lord	🙏 🙏 po Lord
Never wanted to punch so many people in my life god bless my friends for restraining me	Never wanted to 👊 so many people in my life god 🙏 my friends for restraining me
Have the fucking best time ever hopefully be reunited with you and in April love you xxxxxxx	Have the 🍆 best time ever hopefully be reunited with you and in April ❤️ you xxxxxxx
Very yummy Tablea drink!	Very yummy Tablea 🍹!
Banana by from - Banana!	🍌 by from - 🍌!
I got lost with the food part and now i'm hungry lol but serious with the last part? lemme guess the town centre one	I got lost with the food part and now i'm hungry 😂 but serious with the last part? lemme guess the town centre one
nothing new but wonu in glasses is so	nothing new but wonu in 👓 is so
Twitter will make me go from super emotional to banter in seconds i love this platform and everyone on it	Twitter will make me go from super 😭 to banter in seconds i ❤️ this platform and everyone on it
Soccer practice with the boys	⚽️ practice with the 👬
